wavelength,ULTRABLUE,BLUE,GREEN,RED,NIR,CIRRUS,SWIR1,SWIR2
0.617,0.00E+00,0,0,0,0,0,0,0
0.618,0.00E+00,0,0,0,0,0,0,0
0.619,0.00E+00,0,0,0,0,0,0,0
0.62,0.00E+00,0,0,0,0,0,0,0
0.621,0.00E+00,0,0,0,0,0,0,0
0.622,0.00E+00,0,0,0,0,0,0,0
0.623,0.00E+00,0,0,0,0,0,0,0
0.624,0.00E+00,0,0,0,0,0,0,0
0.625,0.00E+00,0,0,0.00004,0,0,0,0
0.626,0.00E+00,0,0,0.00055,0,0,0,0
0.627,0.00E+00,0,0,0.00135,0,0,0,0
0.628,0.00E+00,0,0,0.00265,0,0,0,0
0.629,0.00E+00,0,0,0.00524,0,0,0,0
0.63,0.00E+00,0,0,0.0105,0,0,0,0
0.631,0.00E+00,0,0,0.02168,0,0,0,0
0.632,0.00E+00,0,0,0.04682,0,0,0,0
0.633,0.00E+00,0,0,0.10362,0,0,0,0
0.634,0.00E+00,0,0,0.21658,0,0,0,0
0.635,0.00E+00,0,0,0.40195,0,0,0,0
0.636,0.00E+00,0,0,0.63375,0,0,0,0
0.637,0.00E+00,0,0,0.82792,0,0,0,0
0.638,0.00E+00,0,0,0.9246,0,0,0,0
0.639,0.00E+00,0,0,0.94923,0,0,0,0
0.64,0.00E+00,0,0,0.94929,0,0,0,0
0.641,0.00E+00,0,0,0.9494,0,0,0,0
0.642,0.00E+00,0,0,0.95672,0,0,0,0
0.643,0.00E+00,0,0,0.96827,0,0,0,0
0.644,0.00E+00,0,0,0.97917,0,0,0,0
0.645,0.00E+00,0,0,0.98392,0,0,0,0
0.646,0.00E+00,0,0,0.98354,0,0,0,0
0.647,0.00E+00,0,0,0.9832,0,0,0,0
0.648,0.00E+00,0,0,0.97874,0,0,0,0
0.649,0.00E+00,0,0,0.96725,0,0,0,0
0.65,0.00E+00,0,0,0.95773,0,0,0,0
0.651,0.00E+00,0,0,0.9556,0,0,0,0
0.652,0.00E+00,0,0,0.95455,0,0,0,0
0.653,0.00E+00,0,0,0.95482,0,0,0,0
0.654,0.00E+00,0,0,0.96791,0,0,0,0
0.655,0.00E+00,0,0,0.98993,0,0,0,0
0.656,0.00E+00,0,0,0.99657,0,0,0,0
0.657,0.00E+00,0,0,0.98889,0,0,0,0
0.658,0.00E+00,0,0,0.98325,0,0,0,0
0.659,0.00E+00,0,0,0.97949,0,0,0,0
0.66,0.00E+00,0,0,0.9752,0,0,0,0
0.661,0.00E+00,0,0,0.97663,0,0,0,0
0.662,0.00E+00,0,0,0.98816,0,0,0,0
0.663,0.00E+00,0,0,0.9947,0,0,0,0
0.664,0.00E+00,0,0,0.98698,0,0,0,0
0.665,0.00E+00,0,0,0.97317,0,0,0,0
0.666,0.00E+00,0,0,0.96316,0,0,0,0
0.667,0.00E+00,0,0,0.96604,0,0,0,0
0.668,0.00E+00,0,0,0.96916,0,0,0,0
0.669,0.00E+00,0,0,0.96708,0,0,0,0
0.67,0.00E+00,0,0,0.95925,0,0,0,0
0.671,0.00E+00,0,0,0.90445,0,0,0,0
0.672,0.00E+00,0,0,0.7411,0,0,0,0
0.673,0.00E+00,0,0,0.47755,0,0,0,0
0.674,0.00E+00,0,0,0.22977,0,0,0,0
0.675,0.00E+00,0,0,0.08889,0,0,0,0
0.676,0.00E+00,0,0,0.03328,0,0,0,0
0.677,0.00E+00,0,0,0.01304,0,0,0,0
0.678,0.00E+00,0,0,0.00547,0,0,0,0
0.679,0.00E+00,0,0,0.00239,0,0,0,0
0.68,0.00E+00,0,0,0.00101,0,0,0,0
0.681,0.00E+00,0,0,0.00036,0,0,0,0
0.682,0.00E+00,0,0,0.00003,0,0,0,0
0.683,0.00E+00,0,0,0,0,0,0,0
0.684,0.00E+00,0,0,0,0,0,0,0
0.685,0.00E+00,0,0,0,0,0,0,0
0.686,0.00E+00,0,0,0,0,0,0,0
0.687,0.00E+00,0,0,0,0,0,0,0
0.688,0.00E+00,0,0,0,0,0,0,0
0.689,0.00E+00,0,0,0,0,0,0,0
0.69,0.00E+00,0,0,0,0,0,0,0
0.691,0.00E+00,0,0,0,0,0,0,0
0.692,0.00E+00,0,0,0,0,0,0,0
0.693,0.00E+00,0,0,0,0,0,0,0
0.694,0.00E+00,0,0,0,0,0,0,0
0.695,0.00E+00,0,0,0,0,0,0,0
0.696,0.00E+00,0,0,0,0,0,0,0
0.697,0.00E+00,0,0,0,0,0,0,0
0.698,0.00E+00,0,0,0,0,0,0,0
0.699,0.00E+00,0,0,0,0,0,0,0
0.7,0.00E+00,0,0,0,0,0,0,0
0.701,0.00E+00,0,0,0,0,0,0,0
0.702,0.00E+00,0,0,0,0,0,0,0
0.703,0.00E+00,0,0,0,0,0,0,0
0.704,0.00E+00,0,0,0,0,0,0,0
0.705,0.00E+00,0,0,0,0,0,0,0
0.706,0.00E+00,0,0,0,0,0,0,0
0.707,0.00E+00,0,0,0,0,0,0,0
0.708,0.00E+00,0,0,0,0,0,0,0
0.709,0.00E+00,0,0,0,0,0,0,0
0.71,0.00E+00,0,0,0,0,0,0,0
0.711,0.00E+00,0,0,0,0,0,0,0
0.712,0.00E+00,0,0,0,0,0,0,0
0.713,0.00E+00,0,0,0,0,0,0,0
0.714,0.00E+00,0,0,0,0,0,0,0
0.715,0.00E+00,0,0,0,0,0,0,0
0.716,0.00E+00,0,0,0,0,0,0,0
0.717,0.00E+00,0,0,0,0,0,0,0
0.718,0.00E+00,0,0,0,0,0,0,0
0.719,0.00E+00,0,0,0,0,0,0,0
0.72,0.00E+00,0,0,0,0,0,0,0
0.721,0.00E+00,0,0,0,0,0,0,0
0.722,0.00E+00,0,0,0,0,0,0,0
0.723,0.00E+00,0,0,0,0,0,0,0
0.724,0.00E+00,0,0,0,0,0,0,0
0.725,0.00E+00,0,0,0,0,0,0,0
0.726,0.00E+00,0,0,0,0,0,0,0
0.727,0.00E+00,0,0,0,0,0,0,0
0.728,0.00E+00,0,0,0,0,0,0,0
0.729,0.00E+00,0,0,0,0,0,0,0
0.73,0.00E+00,0,0,0,0,0,0,0
0.731,0.00E+00,0,0,0,0,0,0,0
0.732,0.00E+00,0,0,0,0,0,0,0
0.733,0.00E+00,0,0,0,0,0,0,0
0.734,0.00E+00,0,0,0,0,0,0,0
0.735,0.00E+00,0,0,0,0,0,0,0
0.736,0.00E+00,0,0,0,0,0,0,0
0.737,0.00E+00,0,0,0,0,0,0,0
0.738,0.00E+00,0,0,0,0,0,0,0
0.739,0.00E+00,0,0,0,0,0,0,0
0.74,0.00E+00,0,0,0,0,0,0,0
0.741,0.00E+00,0,0,0,0,0,0,0
0.742,0.00E+00,0,0,0,0,0,0,0
0.743,0.00E+00,0,0,0,0,0,0,0
0.744,0.00E+00,0,0,0,0,0,0,0
0.745,0.00E+00,0,0,0,0,0,0,0
0.746,0.00E+00,0,0,0,0,0,0,0
0.747,0.00E+00,0,0,0,0,0,0,0
0.748,0.00E+00,0,0,0,0,0,0,0
0.749,0.00E+00,0,0,0,0,0,0,0
0.75,0.00E+00,0,0,0,0,0,0,0
0.751,0.00E+00,0,0,0,0,0,0,0
0.752,0.00E+00,0,0,0,0,0,0,0
0.753,0.00E+00,0,0,0,0,0,0,0
0.754,0.00E+00,0,0,0,0,0,0,0
0.755,0.00E+00,0,0,0,0,0,0,0
0.756,0.00E+00,0,0,0,0,0,0,0
0.757,0.00E+00,0,0,0,0,0,0,0
0.758,0.00E+00,0,0,0,0,0,0,0
0.759,0.00E+00,0,0,0,0,0,0,0
0.76,0.00E+00,0,0,0,0,0,0,0
0.761,0.00E+00,0,0,0,0,0,0,0
0.762,0.00E+00,0,0,0,0,0,0,0
0.763,0.00E+00,0,0,0,0,0,0,0
0.764,0.00E+00,0,0,0,0,0,0,0
0.765,0.00E+00,0,0,0,0,0,0,0
0.766,0.00E+00,0,0,0,0,0,0,0
0.767,0.00E+00,0,0,0,0,0,0,0
0.768,0.00E+00,0,0,0,0,0,0,0
0.769,0.00E+00,0,0,0,0,0,0,0
0.77,0.00E+00,0,0,0,0,0,0,0
