wavelength,BLUE,GREEN,RED,NIR,SWIR1,SWIR2
0.816,0,0,0,0.91835,0,0
0.817,0,0,0,0.9236,0,0
0.818,0,0,0,0.9325,0,0
0.819,0,0,0,0.9416,0,0
0.82,0,0,0,0.94915,0,0
0.821,0,0,0,0.95705,0,0
0.822,0,0,0,0.96515,0,0
0.823,0,0,0,0.9699,0,0
0.824,0,0,0,0.971,0,0
0.825,0,0,0,0.97055,0,0
0.826,0,0,0,0.96955,0,0
0.827,0,0,0,0.969,0,0
0.828,0,0,0,0.96945,0,0
0.829,0,0,0,0.96865,0,0
0.83,0,0,0,0.9679,0,0
0.831,0,0,0,0.96855,0,0
0.832,0,0,0,0.96575,0,0
0.833,0,0,0,0.9639,0,0
0.834,0,0,0,0.9659,0,0
0.835,0,0,0,0.9661,0,0
0.836,0,0,0,0.9641,0,0
0.837,0,0,0,0.96075,0,0
0.838,0,0,0,0.9544,0,0
0.839,0,0,0,0.94955,0,0
0.84,0,0,0,0.9463,0,0
0.841,0,0,0,0.9385,0,0
0.842,0,0,0,0.9312,0,0
0.843,0,0,0,0.92855,0,0
0.844,0,0,0,0.92665,0,0
0.845,0,0,0,0.92455,0,0
0.846,0,0,0,0.92535,0,0
0.847,0,0,0,0.92925,0,0
0.848,0,0,0,0.9329,0,0
0.849,0,0,0,0.93805,0,0
0.85,0,0,0,0.94705,0,0
0.851,0,0,0,0.9538,0,0
0.852,0,0,0,0.9605,0,0
0.853,0,0,0,0.97095,0,0
0.854,0,0,0,0.9806,0,0
0.855,0,0,0,0.98725,0,0
0.856,0,0,0,0.9909,0,0
0.857,0,0,0,0.99245,0,0
0.858,0,0,0,0.99345,0,0
0.859,0,0,0,0.9958,0,0
0.86,0,0,0,0.9971,0,0
0.861,0,0,0,0.9942,0,0
0.862,0,0,0,0.99155,0,0
0.863,0,0,0,0.99145,0,0
0.864,0,0,0,0.9929,0,0
0.865,0,0,0,0.99355,0,0
0.866,0,0,0,0.9948,0,0
0.867,0,0,0,0.997,0,0
0.868,0,0,0,0.99655,0,0
0.869,0,0,0,0.9969,0,0
0.87,0,0,0,0.99845,0,0
0.871,0,0,0,0.99945,0,0
0.872,0,0,0,0.99955,0,0
0.873,0,0,0,0.99765,0,0
0.874,0,0,0,0.99375,0,0
0.875,0,0,0,0.99055,0,0
0.876,0,0,0,0.99045,0,0
0.877,0,0,0,0.9883,0,0
0.878,0,0,0,0.98185,0,0
0.879,0,0,0,0.97395,0,0
0.88,0,0,0,0.9627,0,0
0.881,0,0,0,0.9469,0,0
0.882,0,0,0,0.92755,0,0
0.883,0,0,0,0.9052,0,0
0.884,0,0,0,0.8812,0,0
0.885,0,0,0,0.85765,0,0
0.886,0,0,0,0.83555,0,0
0.887,0,0,0,0.81815,0,0
0.888,0,0,0,0.8092,0,0
0.889,0,0,0,0.8124,0,0
0.89,0,0,0,0.8289,0,0
